----------------------------------------------------------------------------------------------------------------
|        Flight no.         |       Separate with       |       Separate date       |       Separate time       |
|          KFH355           |          NVQ745,          |        19-04-2018         |         15:52:50          |
|          NVQ745           |          KFH355,          |        19-04-2018         |         15:52:50          |
|          TPB805           |          QCA886,          |        19-04-2018         |         15:53:09          |
|          QCA886           |          TPB805,          |        19-04-2018         |         15:53:09          |
|          HMY860           |          WWA222,          |        19-04-2018         |         15:53:12          |
|          WWA222           |          HMY860,          |        19-04-2018         |         15:53:12          |
|          EEO314           |          FPU127,          |        19-04-2018         |         15:53:23          |
|          FPU127           |          EEO314,          |        19-04-2018         |         15:53:23          |
|          EYR320           |          NNV571,          |        19-04-2018         |         15:53:26          |
|          NNV571           |          EYR320,          |        19-04-2018         |         15:53:26          |
|          BGM356           |      UIR747,YVC206,       |        19-04-2018         |         15:53:30          |
|          YVC206           |          BGM356,          |        19-04-2018         |         15:53:30          |
|          GCV884           |          QHE758,          |        19-04-2018         |         15:53:46          |
|          QHE758           |          GCV884,          |        19-04-2018         |         15:53:46          |
|          HMY860           |          OTL734,          |        19-04-2018         |         15:54:02          |
|          OTL734           |          HMY860,          |        19-04-2018         |         15:54:02          |
|          NVQ745           |          BCJ705,          |        19-04-2018         |         15:55:01          |
|          BCJ705           |          NVQ745,          |        19-04-2018         |         15:55:01          |
|          WYK502           |          EJS212,          |        19-04-2018         |         15:55:29          |
|          EJS212           |          WYK502,          |        19-04-2018         |         15:55:29          |
|          IXQ320           |          PRC052,          |        19-04-2018         |         15:55:33          |
|          PRC052           |          IXQ320,          |        19-04-2018         |         15:55:33          |
|          WAE340           |          DUU213,          |        19-04-2018         |         15:55:40          |
|          DUU213           |          WAE340,          |        19-04-2018         |         15:55:40          |
|          OTL734           |          YLJ287,          |        19-04-2018         |         15:55:44          |
|          YLJ287           |          OTL734,          |        19-04-2018         |         15:55:44          |
|          GCV884           |          RSJ538,          |        19-04-2018         |         15:57:00          |
|          RSJ538           |          GCV884,          |        19-04-2018         |         15:57:00          |
|          JRG244           |          XPA674,          |        19-04-2018         |         15:57:52          |
|          XPA674           |          JRG244,          |        19-04-2018         |         15:57:52          |
|          KTA030           |          IXX701,          |        19-04-2018         |         15:59:18          |
|          IXX701           |          KTA030,          |        19-04-2018         |         15:59:18          |
|          QTY336           |          YVC206,          |        19-04-2018         |         15:59:33          |
|          YVC206           |      BGM356,QTY336,       |        19-04-2018         |         15:59:33          |
|          UCM815           |          MRU277,          |        19-04-2018         |         15:59:37          |
